item_id_1,item_id_2,similarity_score
2441,5399,1.0000000000000004
1204,1725,1.0000000000000004
22,5718,1.0000000000000002
1834,4679,1.0000000000000002
4031,8513,1.0000000000000002
1149,7740,1.0000000000000002
225,2272,1.0000000000000002
1544,8020,1.0000000000000002
7267,8128,1.0000000000000002
186,4173,1.0000000000000002
4967,9472,1.0000000000000002
6503,9879,1.0000000000000002
2390,3452,1.0000000000000002
3057,3405,1.0000000000000002
885,5362,1.0000000000000002
2088,9929,1.0000000000000002
3357,8146,1.0
1539,9174,1.0
550,4562,1.0
4460,9700,1.0
3391,8298,1.0
1858,7611,1.0
1821,5321,1.0
6754,7013,1.0
1638,9416,1.0
1013,1115,1.0
818,9645,1.0
1707,7723,1.0
2148,9192,1.0
2481,5293,1.0
2481,4862,1.0
340,2148,1.0
2481,8464,1.0
4960,6641,1.0
4862,5293,1.0
4862,8464,1.0
340,9192,1.0
638,8893,1.0
474,5533,1.0
1867,4890,1.0
5293,8464,1.0
571,9032,1.0
5296,8470,1.0
4250,9742,1.0
6396,9754,0.9999999999999999
2417,4019,0.9959716983221392
5718,6570,0.9934469502269563
22,6570,0.9934469502269563
1073,7114,0.9877459510506983
3631,5604,0.9851787223826303
6713,9569,0.9850307244881817
6613,7625,0.9810233548991968
6352,9401,0.9747524102734146
5736,7994,0.9746550573793562
3359,8991,0.974187658086277
4359,7289,0.972448212860034
1033,4208,0.9709730602961905
5716,6048,0.9679546284271932
638,2438,0.9676492225000523
2438,8893,0.9676492225000523
1696,1834,0.9670076831420131
1696,4679,0.9670076831420131
5151,8525,0.9654798477521599
2347,4738,0.9643518028758298
7469,8679,0.960240181286343
3617,4896,0.9600670490443809
5070,8824,0.9589699138698201
3426,5070,0.9575545031798631
3426,8824,0.9573789192805185
4752,9911,0.9569571253366425
3952,5249,0.9558483470279567
8512,8898,0.9557427423191873
1291,7932,0.9550064907524763
4704,5290,0.9537581257832878
3710,7585,0.953002590210334
3962,9543,0.9525161420991508
793,6033,0.9518485383085864
6354,6745,0.9507366448668901
2993,4355,0.9491031571394037
1787,2961,0.9486588308642836
170,2964,0.9478998502487608
5460,7932,0.9465455790607659
943,5070,0.9456211274799171
1494,3170,0.9454786083968985
943,8824,0.9454477317679086
336,9541,0.9453619320779331
1886,8167,0.944925698449251
8230,9554,0.9443768929764504
943,3426,0.9440522794111817
4953,6294,0.943901039160097
4553,9927,0.9414152753557803
4989,7385,0.9406356531772693
3755,6522,0.9394066747139204
1650,5220,0.938100289977977
860,1463,0.9375891507783041
2776,6105,0.9375495235853639
4515,5070,0.9367060738805929
4515,8824,0.9365343128952437
2025,9304,0.9356554946695169
7155,9983,0.9356257925773713
3426,4515,0.9351520164761262
3721,4926,0.9345932290110428
1330,3037,0.9321607354872389
50,4078,0.9309622659406853
971,2578,0.9306944071000355
4696,6180,0.9291184744488353
4997,7255,0.9285511433207875
9870,9927,0.9284421939252276
7885,9927,0.9284421939252276
8396,8832,0.9283060616612373
2127,4808,0.9266540005788854
4141,5679,0.9247207952599303
4828,6719,0.924183908589493
943,4515,0.9234978283206603
4031,5177,0.9229706357657366
5177,8513,0.9229706357657366
1822,8721,0.9222437141235857
4451,9219,0.9220953887264045
479,6835,0.9206642669307842
141,4057,0.9206373997383455
1291,5460,0.9204143457041295
6720,9718,0.9194267428152517
2368,9848,0.9190944305627543
3271,3506,0.9188619949498098
3503,5983,0.9184003442348874
4853,6789,0.9172239552771996
3090,3777,0.9169404578196505
3304,3312,0.9166256974609319
1266,2088,0.9153657254012675
1266,9929,0.9153657254012675
5252,8972,0.9147587780496975
2727,9419,0.9134806683636537
879,3853,0.9108230597117529
953,9419,0.9094623517568206
8573,9779,0.9076036296163732
945,5898,0.9073153547646714
1167,8209,0.907264055180908
1167,9095,0.907264055180908
3175,6238,0.9045235416288987
526,3794,0.9035650094158935
2508,8064,0.9020307456419873
3707,7886,0.901708064625804
4530,6954,0.8998663616951947
