item_id_1,item_id_2,similarity_score
3057,3405,1.0
1013,1115,1.0
851,7388,1.0
4862,8464,1.0
5293,8464,1.0
5296,8470,1.0
1204,1725,1.0
1149,7740,1.0
4960,6641,1.0
138,3132,1.0
885,5362,1.0
1707,7723,1.0
4460,9700,1.0
1834,4679,1.0
186,4173,1.0
340,2148,1.0
1539,9174,1.0
6396,9754,1.0
1638,9416,1.0
4862,5293,1.0
1544,8020,1.0
818,9645,1.0
4967,9472,1.0
22,5718,1.0
6503,9879,1.0
340,9192,1.0
4031,8513,1.0
2088,9929,1.0
2148,9192,1.0
3391,8298,1.0
550,4562,1.0
571,9032,1.0
2275,3498,1.0
2390,3452,1.0
7267,8128,1.0
474,5533,1.0
2481,4862,1.0
2481,5293,1.0
2481,8464,1.0
2441,5399,1.0
638,8893,1.0
6754,7013,1.0
4250,9742,1.0
1858,7611,1.0
1821,5321,1.0
1797,3305,1.0
225,2272,1.0
7418,9306,1.0
3357,8146,1.0
1867,4890,1.0
53,1207,0.9999999391880053
1207,9525,0.9999999391879951
9220,9506,0.9999999335320364
1500,9443,0.9999999263060437
4623,8455,0.9999999108560145
6630,8961,0.9999999102407598
3727,8496,0.9999999082951601
1768,6244,0.9999999029452156
2144,4599,0.9999998969744386
349,2216,0.9999998842861683
4553,9870,0.9999997814109557
3625,8979,0.9999996628800735
2144,9637,0.9999996280359892
4599,9637,0.9999995439311913
7917,8243,0.9999992974024443
251,9633,0.999999251386416
441,641,0.9999987941170905
7930,9220,0.9999986317895735
7930,9506,0.9999985666368648
6984,8682,0.9999976200916151
6518,8185,0.9999975420412411
4828,6719,0.9999962437998756
4553,9927,0.9999960351184891
1759,7036,0.9999943950547322
9870,9927,0.9999941190862841
1706,8037,0.9999905044187116
3522,9870,0.9999888324481805
2195,9207,0.9999881222941831
5780,8432,0.9999877250684147
3244,3504,0.9999873892058159
4407,6605,0.9999863883510729
3522,4553,0.9999858829292448
229,9102,0.9999846395290173
970,7672,0.9999845104258606
953,2727,0.9999822361179667
6553,9316,0.9999815490125475
5614,5797,0.9999800651106031
3625,7752,0.9999793167690381
1414,9474,0.9999792659219541
3580,8496,0.9999790583745379
4451,9219,0.9999770353234537
7752,8979,0.9999766984193117
7210,8751,0.9999763515942628
3580,3727,0.9999762259932992
4553,7885,0.9999742100652678
7885,9870,0.999974119196604
1644,9327,0.9999738556098877
7397,9786,0.999972955320654
42,6487,0.999972183411892
3013,3853,0.9999716045161308
3401,3772,0.9999710942964433
5504,6770,0.9999704626995609
640,8185,0.999968947028285
7885,9927,0.999968939240583
3522,9927,0.9999670270418657
640,6518,0.9999663222785513
2640,6530,0.9999648780943384
641,9506,0.9999645982718102
641,9220,0.9999645982718102
3522,7885,0.9999623147329972
4383,4721,0.9999621563277363
2528,2696,0.999960800935056
4152,5127,0.9999588369011325
3305,9807,0.9999572250288079
1797,9807,0.9999571516569099
5797,8616,0.9999569245167592
2231,6518,0.9999569101746595
3268,4368,0.9999566151627284
1268,9379,0.9999530919676739
3013,9976,0.9999527590485987
8403,8776,0.9999520328385503
579,9976,0.9999512238888395
2231,8185,0.9999503157049481
441,9220,0.9999500206102794
441,9506,0.9999499439581745
641,7930,0.9999490461993311
579,3013,0.9999468013761537
8209,9095,0.9999455292024677
3323,4495,0.9999455178967213
3130,8625,0.9999446345312298
6354,7089,0.9999433966468174
1797,3107,0.9999428516362674
7914,9247,0.9999427935737514
3107,3305,0.9999427866999073
6601,9736,0.9999421951861018
1552,4485,0.9999417967654368
7439,8819,0.9999416056023122
7752,8541,0.9999395599164214
8573,9761,0.9999393858738393
3625,8541,0.9999384584492227
1427,6628,0.9999341914710215
1590,4255,0.9999332272097486
5789,7930,0.9999330150301285
8541,8979,0.9999328187296159
441,7930,0.9999318490554492
2258,3881,0.9999317825940938
5736,7994,0.9999314079422684
5789,9220,0.9999298423602692
5789,9506,0.9999297773449152
7964,9637,0.9999293158688717
3549,7036,0.9999289111609785
5530,9870,0.9999287644447515
1759,9902,0.9999259772256673
2069,6103,0.9999255570041341
8396,8832,0.999925201083129
5530,9927,0.9999246158224089
1386,5005,0.9999241979061558
4599,7964,0.9999233199068465
2144,7964,0.9999227572839169
4662,5536,0.9999183196062423
1620,7226,0.999917702762202
7917,9870,0.9999166860151768
